"","artist","album","track_n","line","lyric","track_title"
"1","Taylor Swift","Taylor Swift",1,1,"he said the way my blue eyes shined","Tim McGraw"
"2","Taylor Swift","Taylor Swift",1,2,"put those georgia stars to shame that night","Tim McGraw"
"3","Taylor Swift","Taylor Swift",1,3,"i said   that a lie just a boy in a chevy truck","Tim McGraw"
"4","Taylor Swift","Taylor Swift",1,4,"that had a tendency of gettin  stuck","Tim McGraw"
"5","Taylor Swift","Taylor Swift",1,5,"on backroads at night","Tim McGraw"
"6","Taylor Swift","Taylor Swift",1,6,"and i was right there beside him all summer long","Tim McGraw"
"7","Taylor Swift","Taylor Swift",1,7,"and then the time we woke up to find that summer gone","Tim McGraw"
"8","Taylor Swift","Taylor Swift",1,8,"but when you think tim mcgraw","Tim McGraw"
"9","Taylor Swift","Taylor Swift",1,9,"i hope you think my favorite song","Tim McGraw"
"10","Taylor Swift","Taylor Swift",1,10,"the one we danced to all night long","Tim McGraw"
"11","Taylor Swift","Taylor Swift",1,11,"the moon like a spotlight on the lake","Tim McGraw"
"12","Taylor Swift","Taylor Swift",1,12,"when you think happiness","Tim McGraw"
"13","Taylor Swift","Taylor Swift",1,13,"i hope you think that little black dress","Tim McGraw"
"14","Taylor Swift","Taylor Swift",1,14,"think of my head on your chest","Tim McGraw"
"15","Taylor Swift","Taylor Swift",1,15,"and my old faded blue jeans","Tim McGraw"
"16","Taylor Swift","Taylor Swift",1,16,"when you think tim mcgraw","Tim McGraw"
"17","Taylor Swift","Taylor Swift",1,17,"i hope you think of me","Tim McGraw"
"18","Taylor Swift","Taylor Swift",1,18,"september saw a month of tears","Tim McGraw"
"19","Taylor Swift","Taylor Swift",1,19,"and thankin  god that you were not here","Tim McGraw"
"20","Taylor Swift","Taylor Swift",1,20,"to see me like that","Tim McGraw"
"21","Taylor Swift","Taylor Swift",1,21,"but in a box beneath my bed","Tim McGraw"
"22","Taylor Swift","Taylor Swift",1,22,"is a letter that you never read","Tim McGraw"
"23","Taylor Swift","Taylor Swift",1,23,"from three summers back","Tim McGraw"
"24","Taylor Swift","Taylor Swift",1,24,"it hard not to find it all a little bittersweet","Tim McGraw"
"25","Taylor Swift","Taylor Swift",1,25,"and lookin  back on all of that  it nice to believe","Tim McGraw"
"26","Taylor Swift","Taylor Swift",2,1,"state the obvious  i did not get my perfect fantasy","Picture to Burn"
"27","Taylor Swift","Taylor Swift",2,2,"i realize you love yourself more than you could ever love me","Picture to Burn"
"28","Taylor Swift","Taylor Swift",2,3,"so go and tell your friends that i am obsessive and crazy","Picture to Burn"
"29","Taylor Swift","Taylor Swift",2,4,"that fine  you will not mind if i say","Picture to Burn"
"30","Taylor Swift","Taylor Swift",2,5,"by the way","Picture to Burn"
"31","Taylor Swift","Taylor Swift",2,6,"i hate that stupid old pickup truck you never let me drive","Picture to Burn"
"32","Taylor Swift","Taylor Swift",2,7,"you are a redneck heartbreak who really bad at lying","Picture to Burn"
"33","Taylor Swift","Taylor Swift",2,8,"so watch me strike a match on all my wasted time","Picture to Burn"
"34","Taylor Swift","Taylor Swift",2,9,"as far as i am concerned  you are just another picture to burn","Picture to Burn"
"35","Taylor Swift","Taylor Swift",2,10,"there no time for tears","Picture to Burn"
"36","Taylor Swift","Taylor Swift",2,11,"i am just sitting here planning my revenge","Picture to Burn"
"37","Taylor Swift","Taylor Swift",2,12,"there nothing stopping me","Picture to Burn"
"38","Taylor Swift","Taylor Swift",2,13,"from going out with all of your best friends","Picture to Burn"
"39","Taylor Swift","Taylor Swift",2,14,"and if you come around saying sorry to me","Picture to Burn"
"40","Taylor Swift","Taylor Swift",2,15,"my daddy gonna show you how sorry you will be","Picture to Burn"
"41","Taylor Swift","Taylor Swift",2,16," cause i hate that stupid old pickup truck you never let me drive","Picture to Burn"
"42","Taylor Swift","Taylor Swift",2,17,"you are a redneck heartbreak who really bad at lying","Picture to Burn"
"43","Taylor Swift","Taylor Swift",2,18,"so watch me strike a match on all my wasted time","Picture to Burn"
"44","Taylor Swift","Taylor Swift",2,19,"as far as i am concerned  you are just another picture to burn","Picture to Burn"
"45","Taylor Swift","Taylor Swift",3,1,"drew looks at me","Teardrops On My Guitar"
"46","Taylor Swift","Taylor Swift",3,2,"i fake a smile so he will not see","Teardrops On My Guitar"
"47","Taylor Swift","Taylor Swift",3,3,"that i want and i am needing","Teardrops On My Guitar"
"48","Taylor Swift","Taylor Swift",3,4,"everything that we should be","Teardrops On My Guitar"
"49","Taylor Swift","Taylor Swift",3,5,"i will bet she beautiful  that girl he talks about","Teardrops On My Guitar"
"50","Taylor Swift","Taylor Swift",3,6,"and she got everything that i have to live without","Teardrops On My Guitar"
"51","Taylor Swift","Taylor Swift",3,7,"drew talks to me","Teardrops On My Guitar"
"52","Taylor Swift","Taylor Swift",3,8,"i laugh  cause it so damn funny","Teardrops On My Guitar"
"53","Taylor Swift","Taylor Swift",3,9,"that i can not even see","Teardrops On My Guitar"
"54","Taylor Swift","Taylor Swift",3,10,"anyone when he with me","Teardrops On My Guitar"
"55","Taylor Swift","Taylor Swift",3,11,"he says he so in love  he finally got it right","Teardrops On My Guitar"
"56","Taylor Swift","Taylor Swift",3,12,"i wonder if he knows he all i think about at night","Teardrops On My Guitar"
"57","Taylor Swift","Taylor Swift",3,13,"he the reason for the teardrops on my guitar","Teardrops On My Guitar"
"58","Taylor Swift","Taylor Swift",3,14,"the only thing that keeps me wishing on a wishing star","Teardrops On My Guitar"
"59","Taylor Swift","Taylor Swift",3,15,"he the song in the car","Teardrops On My Guitar"
"60","Taylor Swift","Taylor Swift",3,16,"i keep singing  do not know why i do   ","Teardrops On My Guitar"
"61","Taylor Swift","Taylor Swift",4,1,"i do not know what i want  so do not ask me","A Place In This World"
"62","Taylor Swift","Taylor Swift",4,2,"cause i am still trying to figure it out","A Place In This World"
"63","Taylor Swift","Taylor Swift",4,3,"do not know what down this road  i am just walking","A Place In This World"
"64","Taylor Swift","Taylor Swift",4,4,"trying to see through the rain coming down","A Place In This World"
"65","Taylor Swift","Taylor Swift",4,5,"even though i am not the only one","A Place In This World"
"66","Taylor Swift","Taylor Swift",4,6,"who feels the way i do","A Place In This World"
"67","Taylor Swift","Taylor Swift",4,7,"i am alone  on my own  and that all i know","A Place In This World"
"68","Taylor Swift","Taylor Swift",4,8,"i will be strong  i will be wrong  oh but life goes on","A Place In This World"
"69","Taylor Swift","Taylor Swift",4,9,"oh  i am just a girl  trying to find a place in this world","A Place In This World"
"70","Taylor Swift","Taylor Swift",4,10,"got the radio on  my old blue jeans","A Place In This World"
"71","Taylor Swift","Taylor Swift",4,11,"and i am wearing my heart on my sleeve","A Place In This World"
"72","Taylor Swift","Taylor Swift",4,12,"feeling lucky today  got the sunshine","A Place In This World"
"73","Taylor Swift","Taylor Swift",4,13,"could you tell me what more do i need","A Place In This World"
"74","Taylor Swift","Taylor Swift",4,14,"and tomorrow just a mystery  oh yeah","A Place In This World"
"75","Taylor Swift","Taylor Swift",4,15,"but that ok","A Place In This World"
"76","Taylor Swift","Taylor Swift",4,16,"i am alone  on my own  and that all i know","A Place In This World"
"77","Taylor Swift","Taylor Swift",4,17,"i will be strong  i will be wrong  oh but life goes on","A Place In This World"
"78","Taylor Swift","Taylor Swift",4,18,"oh  i am just a girl  trying to find a place in this world","A Place In This World"
"79","Taylor Swift","Taylor Swift",5,1,"you have a way of coming easily to me","Cold as You"
"80","Taylor Swift","Taylor Swift",5,2,"and when you take  you take the very best of me","Cold as You"
"81","Taylor Swift","Taylor Swift",5,3,"so i start a fight cause i need to feel something","Cold as You"
"82","Taylor Swift","Taylor Swift",5,4,"and you do what you want  cause i am not what you wanted","Cold as You"
"83","Taylor Swift","Taylor Swift",5,5,"oh  what a shame  what a rainy ending given to a perfect day","Cold as You"
"84","Taylor Swift","Taylor Swift",5,6,"just walk away  ai not no use defending words that you will never say","Cold as You"
"85","Taylor Swift","Taylor Swift",5,7,"and now that i am sitting here thinking it through","Cold as You"
"86","Taylor Swift","Taylor Swift",5,8,"i have never been anywhere cold as you","Cold as You"
"87","Taylor Swift","Taylor Swift",5,9,"you put up walls and paint them all a shade of gray","Cold as You"
"88","Taylor Swift","Taylor Swift",5,10,"and i stood there loving you and wished them all away","Cold as You"
"89","Taylor Swift","Taylor Swift",5,11,"and you come away with a great little story","Cold as You"
