"","Song","Album","Lyric"
"1","22","Red","it feels like a perfect night"
"2","22","Red","to dress up like hipsters"
"3","22","Red","and make fun of our exes  uh uh  uh uh"
"4","22","Red","it feels like a perfect night"
"5","22","Red","for breakfast at midnight"
"6","22","Red","to fall in love with strangers  uh uh  uh uh"
"7","22","Red","yeah"
"8","22","Red","we are happy  free  confused  and lonely at the same time"
"9","22","Red","it miserable and magical  oh  yeah"
"10","22","Red","tonight the night when we forget about the deadlines"
"11","22","Red","it time  oh oh"
"12","22","Red","i do not know about you  but i am feeling 22"
"13","22","Red","everything will be alright if you keep me next to you"
"14","22","Red","you do not know about me  but i will bet you want to"
"15","22","Red","everything will be alright if we just keep dancing like we are"
"16","22","Red","22  22"
"17","22","Red","it seems like one of those nights"
"18","22","Red","this place is too crowded"
"19","22","Red","too many cool kids  uh uh  uh uh"
"20","22","Red"," who taylor swift  anyway  ew "
"21","22","Red","it seems like one of those nights"
"22","22","Red","we ditch the whole scene"
"23","22","Red","and end up dreaming"
"24","22","Red","instead of sleeping"
"25","22","Red","yeah"
"26","22","Red","we are happy  free  confused  and lonely in the best way"
"27","22","Red","it miserable and magical  oh  yeah"
"28","22","Red","tonight the night when we forget about the heartbreaks"
"29","22","Red","it time  oh oh"
"30","22","Red"," hey  "
"31","22","Red","i do not know about you  but i am feeling 22"
"32","22","Red","everything will be alright  ooh  if you keep me next to you"
"33","22","Red","you do not know about me  but i will bet you want to"
"34","22","Red","everything will be alright if  alright "
"35","22","Red","we just keep dancing like we are 22  oh  oh  oh  oh  oh "
"36","22","Red","22  i do not know about you "
"37","22","Red","22  22"
"38","22","Red","it feels like one of those nights"
"39","22","Red","we ditch the whole scene"
"40","22","Red","it feels like one of those nights"
"41","22","Red","we will not be sleeping"
"42","22","Red","it feels like one of those nights"
"43","22","Red","you look like bad news"
"44","22","Red","i gotta have you"
"45","22","Red","i gotta have you"
"46","22","Red","ooh  ooh  yeah"
"47","22","Red"," hey  "
"48","22","Red","i do not know about you  but i am feeling 22"
"49","22","Red","everything will be alright if  ooh  you keep me next to you"
"50","22","Red","you do not know about me  but i will bet you want to"
"51","22","Red","everything will be alright if we just keep dancing like we are"
"52","22","Red","22  whoa  oh "
"53","22","Red","22  dancing like "
"54","22","Red","22  yeah  yeah   22   yeah  yeah  yeah "
"55","22","Red","it feels like one of those nights"
"56","22","Red","i gotta have you"
"57","All Too Well","Red","i walked through the door with you"
"58","All Too Well","Red","the air was cold"
"59","All Too Well","Red","but something  bout it felt like home somehow  and i"
"60","All Too Well","Red","left my scarf there at your sister house"
"61","All Too Well","Red","and you have still got it"
"62","All Too Well","Red","in your drawer  even now"
"63","All Too Well","Red","oh  your sweet disposition"
"64","All Too Well","Red","and my wide eyed gaze"
"65","All Too Well","Red","we are singing in the car getting lost upstate"
"66","All Too Well","Red","autumn leaves falling down like pieces into place"
"67","All Too Well","Red","and i can picture it after all these days"
"68","All Too Well","Red","and i know it long gone and"
"69","All Too Well","Red","that magic not here no more"
"70","All Too Well","Red","and i might be okay  but i am not fine at all"
"71","All Too Well","Red","oh  oh  oh"
"72","All Too Well","Red"," cause there we are again on that little town street"
"73","All Too Well","Red","you almost ran the red  cause you were looking over at me"
"74","All Too Well","Red","wind in my hair  i was there  i remember it all too well"
"75","All Too Well","Red","photo album on the counter"
"76","All Too Well","Red","your cheeks were turning red"
"77","All Too Well","Red","you used to be a little kid with glasses in a twin sized bed"
"78","All Too Well","Red","and your mother telling stories  bout you on the tee ball team"
"79","All Too Well","Red","you tell me  bout your past  thinking your future was me"
"80","All Too Well","Red","and i know it long gone and"
"81","All Too Well","Red","there was nothing else i could do"
"82","All Too Well","Red","and i forget about you long enough"
"83","All Too Well","Red","to forget why i needed to"
"84","All Too Well","Red"," cause there we are again in the middle of the night"
"85","All Too Well","Red","we are dancing round the kitchen in the refrigerator light"
"86","All Too Well","Red","down the stairs  i was there  i remember it all too well  yeah"
"87","All Too Well","Red","maybe we got lost in translation"
"88","All Too Well","Red","maybe i asked for too much"
"89","All Too Well","Red","but maybe this thing was a masterpiece"
"90","All Too Well","Red"," til you tore it all up"
"91","All Too Well","Red","running scared  i was there  i remember it all too well"
"92","All Too Well","Red","and you call me up again just to break me like a promise"
"93","All Too Well","Red","so casually cruel in the name of being honest"
"94","All Too Well","Red","i am a crumpled up piece of paper lying here"
"95","All Too Well","Red"," cause i remember it all  all  all"
"96","All Too Well","Red","too well"
"97","All Too Well","Red","time will not fly  it like i am paralyzed by it"
"98","All Too Well","Red","i would like to be my old self again"
"99","All Too Well","Red","but i am still trying to find it"
"100","All Too Well","Red","after plaid shirt days and nights when you made me your own"
"101","All Too Well","Red","now you mail back my things and i walk home alone"
"102","All Too Well","Red","but you keep my old scarf"
"103","All Too Well","Red","from that very first week"
"104","All Too Well","Red"," cause it reminds you of innocence"
"105","All Too Well","Red","and it smells like me"
"106","All Too Well","Red","you can not get rid of it"
"107","All Too Well","Red"," cause you remember it all too well  yeah"
"108","All Too Well","Red"," cause there we are again when i loved you so"
"109","All Too Well","Red","back before you lost the one real thing you have ever known"
"110","All Too Well","Red","it was rare  i was there  i remember it all too well"
"111","All Too Well","Red","wind in my hair  you were there  you remember it all"
"112","All Too Well","Red","down the stairs  you were there  you remember it all"
"113","All Too Well","Red","it was rare  i was there  i remember it all too well"
"114","Begin Again","Red","took a deep breath in the mirror"
"115","Begin Again","Red","he did not like it when i wore high heels  but i do"
"116","Begin Again","Red","turn the lock and put my headphones on"
"117","Begin Again","Red","he always said he did not get this song but i do  i do"
"118","Begin Again","Red","walked in  expecting you would be late"
"119","Begin Again","Red","but you got here early and you stand and wave"
"120","Begin Again","Red","i walk to you"
"121","Begin Again","Red","you pull my chair out and help me in"
"122","Begin Again","Red","and you do not know how nice that is  but i do"
"123","Begin Again","Red","and you throw your head back laughing like a little kid"
"124","Begin Again","Red","i think it strange that you think i am funny  cause he never did"
"125","Begin Again","Red","i have been spending the last eight months"
"126","Begin Again","Red","thinking all love ever does is break and burn and end"
"127","Begin Again","Red","but on a wednesday in a caf   i watched it begin again"
"128","Begin Again","Red","you said you never met one girl who"
"129","Begin Again","Red","had as many james taylor records as you  but i do"
"130","Begin Again","Red","we tell stories and you do not know why"
"131","Begin Again","Red","i am coming off a little shy  but i do"
"132","Begin Again","Red","but you throw your head back laughing like a little kid"
"133","Begin Again","Red","i think it strange that you think i am funny  cause he never did"
"134","Begin Again","Red","and we walked down the block to my car"
"135","Begin Again","Red","and i almost brought him up"
"136","Begin Again","Red","but you start to talk about the movies"
"137","Begin Again","Red","that your family watches every single christmas"
"138","Begin Again","Red","and i want to talk about that"
"139","Begin Again","Red","and for the first time  what past is past"
"140","Begin Again","Red"," cause you throw your head back laughing like a little kid"
"141","Begin Again","Red","i think it strange that you think i am funny  cause he never did"
"142","Begin Again","Red","but on a wednesday in a caf   i watched it begin again"
"143","Come Back... Be Here","Red","you said it in a simple way"
"144","Come Back... Be Here","Red","4 am  the second day"
"145","Come Back... Be Here","Red","how strange that i do not know you at all"
"146","Come Back... Be Here","Red","stumbled through the long goodbye"
"147","Come Back... Be Here","Red","one last kiss  then catch your flight"
"148","Come Back... Be Here","Red","right when i was just about to fall"
"149","Come Back... Be Here","Red","i told myself  do not get attached"
"150","Come Back... Be Here","Red","but in my mind  i play it back"
"151","Come Back... Be Here","Red","spinning faster than the plane that took you"
"152","Come Back... Be Here","Red","and this is when the feeling sinks in"
"153","Come Back... Be Here","Red","i do not wanna miss you like this"
"154","Come Back... Be Here","Red","come back  be here  come back  be here"
"155","Come Back... Be Here","Red","i guess you are in new york today"
"156","Come Back... Be Here","Red","i do not wanna need you this way"
"157","Come Back... Be Here","Red","come back  be here  come back  be here"
"158","Come Back... Be Here","Red","the delicate beginning rush"
"159","Come Back... Be Here","Red","the feeling you can know so much"
"160","Come Back... Be Here","Red","without knowing anything at all"
"161","Come Back... Be Here","Red","and now that i can put this down"
"162","Come Back... Be Here","Red","if i had known what i know now"
"163","Come Back... Be Here","Red","i never would have played so nonchalant"
"164","Come Back... Be Here","Red","taxi cabs and busy streets"
"165","Come Back... Be Here","Red","that never bring you back to me"
"166","Come Back... Be Here","Red","i can not help but wish you took me with you"
"167","Come Back... Be Here","Red","and this is when the feeling sinks in"
"168","Come Back... Be Here","Red","come back  be here  come back  be here"
"169","Come Back... Be Here","Red","i guess you are in london today"
"170","Come Back... Be Here","Red","and i do not wanna need you this way"
"171","Come Back... Be Here","Red","come back  be here  come back  be here"
"172","Come Back... Be Here","Red","this is falling in love in the cruelest way"
